E W Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net generation,megawatthours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All primemovers (ALL),megawatthours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net generation-all primemovers-,megawatthours,344783,342427,412843,230432,301447,258258,344902,420145,352842,392881,290476,224550,384381,305714,397578,351945,334579,420473,474782,399343,362832,54210,200971,318807,446652,--,209395,--,395199,323193,392490,399742,323007,247566,324491,354780,380744,398672,287087,142510,390334,353545,371969,322670,318346,342581,161092,350233,406873,356120,391387,223953,153500,315496,436745,456102,260429,176975,158861,346975,281741,287252,301676,312000,190671,338553,442479,463282,276387,256998,334737,319378,339687,400569,338388,162958,346273,354270,344198,509202,309404,323753,327731,349727,361602,342970,421889,267096,264760,379539,395347,375135,331722,314623,378538,359972,388511,280256,216173,77934,123150,201684,225635,257648,158339,170246,170931,310933,372265,290897,192044,105816,176160,347023,342677,372026,245103,184250,223674,280014,290526,209202,297063,133138,290974,282769,335637,326358,121002,42141,91888,150068,123019,184007,153492,177520,324463,309972,394407,335997,215842,50218,100767,246306,296134,227085,228777,289040,283473,233628,248418,248127,231390,216527,222342,236466,375504,294817,345422,162416,319466,250933,261630,278610,182406,164348,270267,236905,271943,329229,305708,262594,249386,264843,234223,257318,194105,102955,219442,137880,209187,130477,110443,165696,176246,329981,299293,232802,212944,164582,143575,91265,134723,31074,175793,135046,97148,164391,217118,134923,69191,184113,243101,70821,355762,99320,338960,169070,216297,241765,188531,125608,182787,257227,328052,40085,186743,20753,179311,170434,118786,38346,177785,143955,170990,85419,95546,41911,107118,101076,63884,116419,127048,96949,195113,140906,115407,126272,33596,58055,19975,143991,119105,114725,86525,119136,151027,115994,18980,130215,57218,36683,201086,95771,94660,103581,78773,266191,179053,82885,58184,64063,74052,83695,30180,5532,23748,115594,7331,132438,160299
Net generation-all primemovers-,megawatthours,343877,340644,405666,215728,288064,240369,315731,386191,340149,389308,286556,219854,375115,298884,389635,320547,326393,388672,404919,364401,336261,47616,190975,315906,435416,347377,206307,362850,392519,322197,389517,389703,323293,247891,322581,352848,375876,396928,283393,134575,384531,346010,370285,319779,318279,341529,160749,349817,384473,355817,390959,209752,70428,176914,404932,419016,213933,160542,128207,303724,276648,278273,285583,310594,160563,275232,323263,369675,273144,256203,333507,318092,339262,388835,335606,144204,333561,344519,339647,422001,285113,309785,323192,333498,347914,333443,416685,266618,263928,370729,386091,364498,328474,315007,372415,352152,364609,259864,208931,72491,123433,195879,224956,253312,147302,169300,171115,307798,355644,289330,192239,101701,168732,330779,325135,341464,232278,181726,220385,258748,287544,205398,295983,131001,281756,271773,308784,311087,118561,38736,90354,150428,118490,183838,143301,145018,258173,292716,330356,306330,201732,43186,97846,241271,285054,226693,223443,277291,277008,229411,217342,239211,222186,205293,214586,231917,257124,232624,281938,81128,304707,229738,228023,255338,172992,156602,221419,209831,214640,196172,196746,108699,180728,203796,206878,226305,168368,60964,130609,134768,143491,99503,11111,117631,153347,246146,234144,196603,189639,126662,126609,82644,100744,14388,162296,101925,86029,145470,183698,118523,57851,167903,216245,57112,232423,92841,284448,90596,175819,212997,154159,99506,154683,227704,289421,16689,126288,16656,153959,144551,94701,20731,131896,96290,131717,18598,-2221,19294,99040,82747,39434,111426,118152,82100,134016,119477,107914,93671,29048,51653,16934,137895,106360,105063,78253,98699,125700,90765,9254,119806,25869,15982,135958,89721,88540,97530,49246,134856,98042,67027,47568,53305,70443,51257,29737,1296,17087,109168,1510,120856,147411
Net generation-all primemovers-,megawatthours,807,19,158,4040,1089,1543,948,674,476,90,380,2405,6752,560,628,13178,858,6,86,586,346,360,2176,986,1219,--,1520,512,130,1670,29,0,570,452,328,914,1859,79,1779,224,682,539,591,552,67,430,343,226,7356,249,531,109,4909,1086,192,194,1296,62,175,1234,1286,729,1013,471,668,5844,1237,436,664,385,186,78,425,166,2008,2266,560,151,1146,343,314,202,969,5958,205,387,377,1010,743,359,277,677,271,43,1764,4086,318,1974,242,808,382,1024,679,600,757,494,564,179,504,109,492,114,674,1651,404,512,600,318,648,429,326,603,598,611,525,379,270,102,350,528,1645,597,734,488,771,896,332,515,108,213,395,369,882,714,344,362,989,279,310,308,533,465,403,542,284,515,149,307,334,828,381,671,1928,180,346,121,639,671,307,180,167,311,952,411,2014,168,359,170,446,372,931,3337,168,867,408,360,403,719,289,845,790,233,565,272,295,253,677,438,304,376,192,246,104,937,608,469,877,136,527,387,63,322,114,465,440,2134,662,1594,2,5,279,397,316,306,221,20,-4,1141,341,247,11,290,193,7,1963,39,1,250,38,1175,353,7,149,211,338,424,8,459,203,0,18,343,332,361,4,640,662,62,140,405,374,13,267,6900,810,0,252,7,235,431,348
Net generation-all primemovers-,megawatthours,99,1764,7019,10664,12294,16346,28223,33280,12217,3483,3540,2291,2514,6270,7315,18220,7328,31795,69777,34356,26225,6234,7820,1915,10017,-645,1568,--,2550,-674,2944,10039,-856,-777,1582,1018,3009,1665,1915,7711,5121,6996,1093,2339,0,622,0,190,15044,54,-103,14092,78163,137496,31621,36892,45200,16371,30479,42017,3807,8250,15080,935,29440,57477,117979,93171,2579,410,1044,1208,0,11568,773,16487,12152,9600,3405,86858,23977,13766,3570,10271,13483,9140,4827,-532,89,8451,8979,9960,2977,-428,4359,3734,23584,18418,7000,4635,-665,4781,0,3736,10280,452,-748,2956,16117,1458,-687,4001,6754,14593,17138,30050,12225,2206,2641,20837,2656,3201,482,1526,8693,10617,26583,15169,2091,2877,-111,-957,3795,-319,9420,31606,65958,16741,63943,29454,13715,6663,2039,4321,10736,30,4345,11470,6155,3909,30543,8451,8801,10692,7472,4034,118231,61886,63150,80460,14378,20524,31679,23092,9068,7625,48209,26403,56996,132877,108795,153584,67706,60636,25331,30845,25378,41821,88387,2740,64765,27636,99164,47198,22491,81240,62777,33532,21104,35456,14952,7563,32903,15268,11675,31174,8512,16318,31240,14444,9441,14497,25730,11948,121900,5178,52211,76556,37889,26309,32223,23976,26721,27662,37412,20569,59047,1670,23831,24159,22011,15377,43489,45354,37200,65404,96738,20816,6929,17256,23197,3066,6935,12935,57074,19616,5904,31165,3389,4538,1978,5519,10994,7760,6045,18241,23460,23087,7958,9165,30166,19578,64138,4591,4683,3872,27068,129169,79147,13637,8584,9190,2377,24844,-1026,3170,5063,4615,3731,9379,10735
Net generation-all primemovers-,megawatthours,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,2235,1969,1948,1912,1619,1224,825,511,1146,1527,1694,1930,2165,1876,1580,1707,1467,1022,824,831,832,1424,1782,2062,2072,2086,1804,1269,1396,779,693,746,833,1519,1719,1795,1842,2084,2005,1852,1397,1033,660,808,826,1242,1637,1768,1907,2059,1774,1588,1186,1121,689,709,570,1602,1691,1888,1772,1859,1683,1565,1244,1165,779,658,1098,1433,1539,1797,2104,1724,1816,1658,1555,965,695,659,1066,1346,1804,1855,1771,1805
Net generation-combustion (gas) turbine (including jet engine design)-,megawatthours,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1142,--,632,0,0,0,0,0,0,0,0,599,1085,0,1643,0,0,0,0,0,0,0,0,0,6992,-134,0,0,4625,0,0,0,1071,0,0,0,610,17,279,55,32,5308,636,0,246,0,106,0,0,111,1714,2202,0,0,0,0,0,0,0,5381,0,0,0,0,0,0,--,--,--,-545,1666,3571,32,1509,0,0,0,175,0,0,0,0,0,0,200,0,0,0,0,1464,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,36,0,0,137,0,0,0,0,0,0,0,50,57,0,0,--,0,46,131,1568,0,31,0,215,111,0,0,0,0,203,0,1464,0,0,0,0,113,291,2614,0,0,0,57,0,0,0,0,109,0,0,0,0,0,27,0,0,0,0,0,0,118,0,0,0,0,0,131,0,0,0,0,216,2127,0,1193,0,0,0,160,0,0,0,0,0,259,0,0,0,0,193,0,1683,0,0,0,0,0,146,7,0,0,48,0,0,0,0,0,0,63,0,0,0,320,60,0,0,0,0,0,0,6645,0,0,0,0,0,78,0
Net generation-combustion (gas) turbine (including jet engine design)-,megawatthours,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10017,-645,1568,--,2550,-674,2944,10039,-856,-777,1582,1018,3009,1665,1915,7711,5121,6996,1093,2339,0,622,0,190,15044,54,-103,14092,78163,137496,31621,36892,45200,16371,30479,42017,3807,8250,15080,935,29440,57477,117979,93171,2579,410,1044,1208,0,11568,773,16487,12152,9600,3405,86858,23977,13766,3570,10271,13483,9140,4827,-532,89,8451,8979,9960,2977,-428,4359,3734,23584,18418,7000,4635,-665,4781,0,3736,10280,452,-748,2956,16117,1458,-687,4001,6754,14593,17138,30050,12225,2206,2641,20837,2656,3201,482,1526,8693,10617,26583,15169,2091,2877,-111,-957,3795,-319,9420,31606,65958,16741,63943,29454,13715,6663,2039,4321,10736,30,4345,11470,6155,3909,30543,8451,8801,10692,7472,4034,118231,61886,63150,80460,14378,20524,31679,23092,9068,7625,48209,26403,56996,132877,108795,153584,67706,60636,25331,30845,25378,41821,88387,2740,64765,27636,99164,47198,22491,81240,62777,33532,21104,35456,14952,7563,32903,15268,11675,31174,8512,16318,31240,14444,9441,14497,25730,11948,121900,5178,52211,76556,37889,26309,32223,23976,26721,27662,37412,20569,59047,1670,23831,24159,22011,15377,43489,45354,37200,65404,96738,20816,6929,17256,23197,3066,6935,12935,57074,19616,5904,31165,3389,4538,1978,5519,10994,7760,6045,18241,23460,23087,7958,9165,30166,19578,64138,4591,4683,3872,27068,129169,79147,13637,8584,9190,2377,24844,-1026,3170,5063,4615,3731,9379,10735
Net generation-combustion (gas) turbine (including jet engine design)-,megawatthours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net generation-photovoltaic-,megawatthours,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,2235,1969,1948,1912,1619,1224,825,511,1146,1527,1694,1930,2165,1876,1580,1707,1467,1022,824,831,832,1424,1782,2062,2072,2086,1804,1269,1396,779,693,746,833,1519,1719,1795,1842,2084,2005,1852,1397,1033,660,808,826,1242,1637,1768,1907,2059,1774,1588,1186,1121,689,709,570,1602,1691,1888,1772,1859,1683,1565,1244,1165,779,658,1098,1433,1539,1797,2104,1724,1816,1658,1555,965,695,659,1066,1346,1804,1855,1771,1805
Net generation-photovoltaic-,megawatthours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
