Year,Month,Day,Hour,DrawkW,HolidayPresent,prcp,snow,snwd,tmax,tmin,tobs,wesd,wt01,wt03,wt04,wt05,wt06,Timestamp,chmax,chmin
2021,9,29,18,4953000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 18:00,-65,-65
2021,9,29,17,4741000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 17:00,-65,-65
2021,9,29,16,4413000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 16:00,-65,-65
2021,9,29,15,4108000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 15:00,-65,-65
2021,9,29,14,3909000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 14:00,-65,-65
2021,9,29,13,3624000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 13:00,-65,-65
2021,9,29,12,3588000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 12:00,-65,-65
2021,9,29,11,3419000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 11:00,-65,-65
2021,9,29,10,3137000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:00,-65,-65
2021,9,29,9,3042000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 9:00,-65,-65
2021,9,29,8,3050000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 8:00,-65,-65
2021,9,29,7,3180000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 7:00,-65,-65
2021,9,29,6,3337000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 6:00,-65,-65
2021,9,29,5,3754000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 5:00,-65,-65
2021,9,29,4,4053000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 4:00,-65,-65
2021,9,29,3,4412000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 3:00,-65,-65
2021,9,29,2,4722000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 2:00,-65,-65
2021,9,29,1,5073000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 1:00,-65,-65
2021,9,29,0,5150000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 0:00,-65,-65
2021,9,28,23,5349000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/28/2021 23:00,-65,-65
2021,9,28,22,5480000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/28/2021 22:00,-65,-65
2021,9,28,21,5487000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/28/2021 21:00,-65,-65
2021,9,28,20,5382000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/28/2021 20:00,-65,-65
2021,9,28,19,5253000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/28/2021 19:00,-65,-65
2021,9,28,18,5017000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/28/2021 18:00,-65,-65
2021,9,28,17,4765000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/28/2021 17:00,-65,-65
2021,9,28,16,4475000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/28/2021 16:00,-65,-65
2021,9,28,15,4207000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/28/2021 15:00,-65,-65
2021,9,28,14,4e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,9/28/2021 14:00,-65,-65
2021,9,28,13,3951000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/28/2021 13:00,-65,-65
2021,9,28,12,3863000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/28/2021 12:00,-65,-65
2021,9,28,11,3648000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/28/2021 11:00,-65,-65
2021,9,28,10,3303000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/28/2021 10:00,-65,-65
2021,9,28,9,3213000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/28/2021 9:00,-65,-65
2021,9,28,8,3254000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/28/2021 8:00,-65,-65
2021,9,28,7,3225000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/28/2021 7:00,-65,-65
2021,9,28,6,3347000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/28/2021 6:00,-65,-65
2021,9,28,5,3507000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/28/2021 5:00,-65,-65
2021,9,28,4,3779000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/28/2021 4:00,-65,-65
2021,9,28,3,4072000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/28/2021 3:00,-65,-65
2021,9,28,2,4380000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/28/2021 2:00,-65,-65
2021,9,28,1,4642000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/28/2021 1:00,-65,-65
2021,9,28,0,4691000,0,0,0,0,0,0,0,0,0,0,0,0,0,9/28/2021 0:00,-65,-65
2021,9,27,23,4794000,0,0,0,0,0,0,69,0,0,0,0,0,0,9/27/2021 23:00,-65,-65
2021,9,27,22,4876000,0,0,0,0,0,0,69,0,0,0,0,0,0,9/27/2021 22:00,-65,-65
2021,9,27,21,4910000,0,0,0,0,0,0,69,0,0,0,0,0,0,9/27/2021 21:00,-65,-65
2021,9,27,20,4774000,0,0,0,0,0,0,69,0,0,0,0,0,0,9/27/2021 20:00,-65,-65
2021,9,27,19,4658000,0,0,0,0,0,0,69,0,0,0,0,0,0,9/27/2021 19:00,-65,-65
