megawatthours,Fuel MMBtus
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
435416,4504242
347377,3592461
206307,2150034
362850,3753580
392519,4049652
322197,3364052
389517,4067275
389703,4085140
323293,3408831
247891,2637053
322581,3342944
352848,3633845
375876,3917000
396928,4084103
283393,2959216
134575,1423232
384531,4020593
346010,3649993
370285,3950958
319779,3443976
318279,3384458
341529,3586797
160749,1718098
349817,3736700
384473,4029724
355817,3706393
390959,4096322
209752,2217975
70428,779017
176914,1874650
404932,4245998
419016,4406161
213933,2222612
160542,1643487
128207,1299281
303724,3177193
276648,2903714
278273,2878374
285583,2972420
310594,3263694
160563,1715954
275232,2986317
323263,3482940
369675,3942841
273144,2928174
256203,2707240
333507,3484267
318092,3301743
339262,3536472
388835,3991535
335606,3473258
144204,1555051
333561,3505439
344519,3581876
339647,3570520
422001,4411462
285113,2959206
309785,3208949
323192,3357461
333498,3477750
347914,3624130
333443,3550546
416685,4324500
266618,2810697
263928,2789070
370729,3875840
386091,4066801
364498,3845570
328474,3434165
315007,3302085
372415,3883843
352152,3763281
364609,3822515
259864,2729755
208931,2215805
72491,817458
123433,1309546
195879,2119712
224956,2373822
253312,2713069
147302,1589667
169300,1836712
171115,1821773
307798,3280122
355644,3777815
289330,3108901
192239,2033017
101701,1063211
168732,1836778
330779,3606524
325135,3513527
341464,3706265
232278,2590619
181726,2011817
220385,2462691
258748,2915336
287544,3233077
205398,2318249
295983,3269708
131001,1545224
281756,3203844
271773,3077234
308784,3447205
311087,3453435
118561,1404111
38736,552624
90354,1139894
150428,1750102
118490,1390431
183838,2166631
143301,1687924
145018,1671550
258173,2889802
292716,3214735
330356,3601409
306330,3353023
201732,2255019
43186,534604
97846,1146559
241271,2696797
285054,3170990
226693,2533019
223443,2468647
277291,3070422
277008,3005302
229411,2612261
217342,2480128
239211,2693752
222186,2506244
205293,2331010
214586,2442562
231917,2678237
257124,2925577
232624,2660641
281938,3143729
81128,925425
304707,3364193
229738,2615070
228023,2578334
255338,2889113
172992,1981472
156602,1863415
221419,2521825
209831,2423115
214640,2480403
196172,2289636
196746,2242703
108699,1249825
180728,2070143
203796,2371506
206878,2410200
226305,2576753
168368,1951280
60964,775735
130609,1540208
134768,1560938
143491,1718017
99503,1175646
11111,176679
117631,1377979
153347,1776244
246146,2817407
234144,2693661
196603,2280670
189639,2176440
126662,1478981
126609,1458196
82644,1014890
100744,1222516
14388,210606
162296,1875954
101925,1207598
86029,1051281
145470,1683042
183698,2118096
118523,1382155
57851,706069
167903,1954818
216245,2434757
57112,719808
232423,2647233
92841,1120731
284448,3291234
90596,1096041
175819,2144608
212997,2538951
154159,1763405
99506,1193801
154683,1767440
227704,2567846
289421,3235356
16689,236927
126288,1527638
16656,240549
153959,1762037
144551,1657810
94701,1138397
20731,276903
131896,1555707
96290,1162131
131717,1548329
18598,239864
-2221,0
19294,320919
99040,1243172
82747,1075110
39434,472986
111426,1293872
118152,1366778
82100,959634
134016,1531958
119477,1417655
107914,1271370
93671,1110548
29048,354913
51653,543642
16934,233653
137895,1603707
106360,1281241
105063,1226289
78253,929497
98699,1171122
125700,1496824
90765,1113196
9254,142073
119806,1427775
25869,320023
15982,224123
135958,1565264
89721,1081943
88540,1066031
97530,1152223
49246,606432
134856,1443276
98042,1189915
67027,836939
47568,606348
53305,659267
70443,833150
51257,643141
29737,413765
1296,42874
17087,216150
109168,1224652
1510,71455
120856,1377506
147411,1687437
