megawatthours,Fuel MMBtus,,
--,--,,
--,--,,
--,--,,
--,--,,
--,--,,
--,--,,
--,--,,
--,--,,
--,--,,
--,--,,
--,--,,
--,--,,
--,--,,
--,--,,
--,--,,
--,--,,
--,--,,
--,--,,
--,--,,
--,--,,
--,--,,
--,--,,
--,--,,
--,--,,
77,812,,  
44,464,,
888,9002,,
512,5214,,
130,1351,,
1670,17655,,
29,302,,
0,0,,
570,5922,,
452,4681,,
328,3347,,
315,3236,,
774,8074,,
79,795,,
136,1409,,
224,2291,,
682,7018,,
539,5580,,
591,6264,,
552,6009,,
67,708,,
430,4482,,
343,3774,,
226,2466,,
364,3849,,
383,4027,,
531,5613,,
109,1154,,
284,3148,,
1086,11527,,
192,2025,,
194,2046,,
225,2356,,
62,640,,
175,1780,,
1234,12965,,
676,7125,,
712,7392,,
734,7651,,
416,4370,,
636,6833,,
536,5846,,
601,6529,,
436,4711,,
418,4554,,
385,4144,,
80,855,,
78,830,,
425,4429,,
55,564,,
295,3048,,
65,699,,
560,5880,,
151,1568,,
1146,12042,,
343,3582,,
314,3255,,
202,2095,,
969,10067,,
577,6020,,
205,2140,,
387,4122,,
377,3916,,
1010,10643,,
743,7856,,
359,3757,,
277,2922,,
677,7138,,
271,2834,,
588,6162,,
98,1023,,
515,5504,,
286,2999,,
465,4886,,
242,2570,,
808,9108,,
382,4057,,
849,9185,,
679,7168,,
600,6427,,
757,8167,,
494,5363,,
564,6003,,
179,1911,,
304,3228,,
109,1170,,
492,5198,,
114,1194,,
674,7332,,
187,2034,,
404,4369,,
512,5562,,
600,6691,,
318,3516,,
648,7244,,
429,4833,,
326,3663,,
603,6809,,
598,6603,,
611,7203,,
511,5815,,
379,4292,,
270,3016,,
102,1129,,
350,4140,,
528,7538,,
1645,20751,,
597,6944,,
734,8614,,
488,5757,,
771,9079,,
896,10331,,
332,3716,,
515,5657,,
108,1176,,
213,2328,,
395,4416,,
369,4569,,
867,10155,,
678,7579,,
344,3828,,
362,4045,,
852,9414,,
279,3093,,
310,3363,,
308,3504,,
533,6080,,
465,5239,,
403,4551,,
542,6150,,
234,2664,,
458,5292,,
149,1699,,
307,3510,,
334,3728,,
828,9449,,
335,3699,,
540,6150,,
360,4069,,
180,2034,,
315,3604,,
121,1435,,
424,4827,,
560,6462,,
307,3552,,
180,2099,,
167,1905,,
311,3581,,
749,8579,,
411,4780,,
550,6409,,
168,1911,,
359,4157,,
170,2158,,
446,5257,,
259,2999,,
640,7668,,
724,8550,,
168,2664,,
867,10155,,
408,4722,,
303,3469,,
403,4639,,
719,8338,,
289,3322,,
845,9873,,
681,7838,,
233,2858,,
565,6856,,
272,3981,,
295,3405,,
253,2999,,
650,7944,,
438,5063,,
304,3504,,
376,4381,,
192,2340,,
246,2869,,
104,1170,,
819,10325,,
608,6927,,
469,5657,,
877,10143,,
136,1646,,
527,6433,,
256,3046,,
63,723,,
322,3863,,
114,1305,,
465,5245,,
224,2499,,
7,100,,
662,8009,,
401,5798,,
2,18,,
5,53,,
279,3357,,
236,3158,,
316,3722,,
306,3699,,
221,2599,,
20,259,,
-4,0,,
882,14676,,
341,4287,,
247,3205,,
11,129,,
290,3363,,
0,0,,
7,82,,
281,3210,,
39,459,,
1,12,,
250,2969,,
38,465,,
1175,12366,,
208,2864,,
0,0,,
149,1799,,
211,2464,,
291,3452,,
424,5033,,
8,94,,
459,5633,,
203,3122,,
0,0,,
18,218,,
281,3934,,
332,3822,,
361,4351,,
4,47,,
320,3781,,
602,7409,,
62,664,,
140,1705,,
405,5051,,
374,4769,,
13,165,,
267,3158,,
254,3193,,
810,11266,,
0,0,,
252,3187,,
7,76,,
235,11113,,
354,4034,,
348,3987,,
